method,pearson,std_pearson,spearman,std_spearman,mae,std_mae,sdr,std_sdr
ave_top_1,0.8393333333333333,0.003299831645537225,0.8156666666666667,0.004027681991198142,4.19,0.0,0.8673333333333333,0.009568466729604892
ave_top_2,0.8486666666666666,0.0012472191289246482,0.8223333333333332,0.002624669291337273,4.06,0.0,0.858,0.004082482904638634
ave_top_3,0.8583333333333334,0.00368178700572909,0.8376666666666667,0.006342099196813488,4.03,0.0,0.8333333333333334,0.006128258770283417
ave_top_4,0.8566666666666666,0.004496912521077351,0.8366666666666666,0.008339997335464543,4.05,0.0,0.8216666666666667,0.007318166133366723
ave_top_5,0.8566666666666666,0.004496912521077351,0.838,0.008524474568362955,4.06,0.0,0.8236666666666667,0.007318166133366723
ave_top_6,0.8536666666666667,0.004189935029992182,0.8336666666666667,0.008259674462242584,4.12,0.0,0.8136666666666666,0.005906681715556403
ave_top_7,0.8503333333333334,0.0038586123009300786,0.8283333333333333,0.008055363982396388,4.18,0.0,0.8063333333333335,0.004027681991198194
ave_top_8,0.846,0.004966554808583784,0.8236666666666667,0.009741092797468261,4.28,0.0,0.793,0.00509901951359279
