method,pearson,std_pearson,spearman,std_spearman,mae,std_mae,sdr,std_sdr
ave_top_1,0.8393333333333333,0.003299831645537225,0.8156666666666667,0.004027681991198142,4.19,0.0,0.8673333333333333,0.009568466729604892
ave_top_2,0.8416666666666667,0.004496912521077351,0.8170000000000001,0.0043204937989385255,4.18,0.0,0.8646666666666666,0.010077477638553992
ave_top_3,0.848,0.004546060565661956,0.8293333333333334,0.0038586123009300786,4.1,0.0,0.836,0.006976149845485456
ave_top_4,0.8506666666666667,0.0041096093353126546,0.8313333333333333,0.004921607686744471,4.16,0.0,0.8003333333333335,0.005792715732327594
ave_top_5,0.855,0.005354126134736342,0.8356666666666666,0.006944222218666559,4.24,0.0,0.7816666666666667,0.008806563209081944
ave_top_6,0.8573333333333334,0.004189935029992182,0.8393333333333333,0.006236095644623242,4.2,0.0,0.7799999999999999,0.009201449161228182
ave_top_7,0.8566666666666666,0.005249338582674546,0.8373333333333334,0.007039570693980965,4.25,0.0,0.7713333333333333,0.013299958228840015
