method,pearson,std_pearson,spearman,std_spearman,mae,std_mae,sdr,std_sdr
ave_top_1,0.8393333333333333,0.003299831645537225,0.8156666666666667,0.004027681991198142,4.19,0.0,0.8673333333333333,0.009568466729604892
ave_top_2,0.8416666666666667,0.004496912521077351,0.8170000000000001,0.0043204937989385255,4.18,0.0,0.8646666666666666,0.010077477638553992
ave_top_3,0.8493333333333334,0.0024944382578492965,0.824,0.0032659863237109073,4.05,0.0,0.8566666666666668,0.006128258770283417
ave_top_4,0.858,0.004082482904638634,0.8376666666666667,0.006342099196813488,4.02,0.0,0.8376666666666667,0.006798692684790386
ave_top_5,0.8583333333333334,0.004988876515698593,0.8356666666666666,0.005557777333511028,3.99,0.0,0.8383333333333334,0.012918548250050746
ave_top_6,0.859,0.00509901951359279,0.8380000000000001,0.006683312551921147,4.02,0.0,0.8253333333333334,0.01144066820115364
ave_top_7,0.8586666666666666,0.005436502143433369,0.8386666666666667,0.007717224601860157,4.01,0.0,0.819,0.01143095213298813
ave_top_8,0.8593333333333333,0.004988876515698593,0.8403333333333333,0.007408703590297629,4.01,0.0,0.8136666666666666,0.010274023338281589
