method,trial,fin_pearson_train,std_pearson_train,fin_spearman_train,std_spearman_train,fin_mae_train,std_mae_train,fin_std_ratio_train,std_std_ratio_train,fin_pearson_test,std_pearson_test,fin_spearman_test,std_spearman_test,fin_mae_test,std_mae_test,fin_std_ratio_test,std_std_ratio_test
ridge,tm_1,0.8396666666666666,0.015267976654131703,0.8158888888888889,0.013649944602609938,4.212222222222222,0.1497240259631609,0.839,0.014704496666741838,0.8402222222222222,0.028310884352833375,0.8157777777777777,0.026573912762447534,4.254444444444444,0.31906499202482624,0.8420000000000001,0.07297183627187197
ridge,tm_2,0.8403333333333333,0.015084944665312999,0.815,0.013999999999999969,4.1933333333333325,0.1387243469778987,0.8387777777777777,0.014994649251410952,0.838,0.026799668322989027,0.8141111111111112,0.025562317945863812,4.264444444444445,0.30583623472233595,0.8496666666666667,0.0726788980531641
ridge,tm_3,0.8411111111111111,0.014309627252264995,0.8079999999999999,0.01384838538522729,4.228888888888889,0.16285265627038745,0.838111111111111,0.01598224323320828,0.836,0.026081070189358055,0.8032222222222223,0.022199988877763848,4.353333333333333,0.2969100125552447,0.8455555555555556,0.0657708329667171
ridge,tm_4,0.8453333333333332,0.014764823060233415,0.8192222222222223,0.014288906168988995,4.192222222222223,0.18581817742548332,0.8406666666666666,0.01904964274963939,0.8408888888888889,0.02724556822043397,0.8162222222222222,0.01885487132916863,4.275555555555554,0.3243835559303595,0.8478888888888889,0.06202408930666366
ridge,tm_5,0.8505555555555556,0.01811145193953332,0.827,0.01778888541883509,4.103333333333333,0.22514193054357717,0.8423333333333333,0.024312776705080624,0.8446666666666667,0.02751565211131859,0.8217777777777777,0.02559851461740081,4.223333333333334,0.32506409624359733,0.8574444444444445,0.06847401958425321
ridge,tm_6,0.8566666666666667,0.015180396715647615,0.8351111111111111,0.0157863826300774,3.993333333333333,0.1511437873167284,0.8523333333333333,0.014399074044303463,0.851,0.02474312474652751,0.8304444444444444,0.023060842767249467,4.1033333333333335,0.304703863520705,0.8697777777777778,0.06788843425925244
ridge,tm_7,0.8585555555555555,0.01295385923714639,0.8374444444444444,0.014283721201354512,3.967777777777778,0.13806421837341398,0.8536666666666667,0.017813852287849836,0.8537777777777777,0.02801498717067063,0.833888888888889,0.026830515149916072,4.055555555555555,0.3106663487520229,0.8698888888888888,0.063356915687493
ridge,tm_8,0.8613333333333333,0.013792107243718146,0.8413333333333333,0.013157169570660378,3.933333333333333,0.1477986618493024,0.8575555555555555,0.017975978484331117,0.8536666666666667,0.027531799795872433,0.835111111111111,0.02313940575653212,4.052222222222222,0.30235291291902133,0.878888888888889,0.06455220874858572
